gen,nevals,avg,std,min,max
97,226,171.63040000000004,17.452276599534695,143.78000000000003,278.1199999999999
98,228,174.40933333333334,20.50555653692161,143.78000000000003,249.5400000000001
99,218,172.87620000000004,18.807988592439465,143.78000000000003,253.76
100,259,173.84773333333337,18.749412760463244,141.12000000000003,249.61999999999995
101,229,173.33526666666668,19.109941782456815,145.9,261.23999999999995
102,232,173.88373333333337,19.778349764213278,149.80000000000007,258.70000000000005
103,222,174.35160000000005,19.265476586543777,150.64000000000001,244.79999999999995
104,230,174.86173333333335,21.03736801492894,144.84000000000003,263.2000000000001
105,232,174.13753333333335,19.758958286868822,144.84000000000003,264.9000000000001
106,245,175.62980000000002,22.215273633846298,146.00000000000006,295.46
107,227,173.4836666666667,19.861401861119695,144.94000000000005,266.50000000000006
108,221,174.09113333333337,18.590278679520168,146.00000000000006,258.52
109,228,173.6130666666667,18.985735134451748,146.18000000000004,264.86
110,226,172.07066666666668,18.013149591957045,143.0,264.4600000000001
111,236,173.58193333333335,19.796465482392446,143.0,266.24000000000007
112,221,172.5988,18.19973343834097,139.56,252.9399999999999
113,231,171.97233333333335,19.917369535714858,143.0,274.93999999999994
114,215,172.89493333333337,21.21169604240914,143.0,260.25999999999993
115,227,170.2906666666667,18.956164544079645,141.67999999999995,253.84000000000003
116,211,168.64493333333337,16.654303377672562,144.28,232.02000000000007
117,222,169.98113333333333,20.388071284836034,140.88,260.76000000000005
118,220,169.60680000000002,20.387427476102363,140.88,259.44
119,217,167.95133333333337,18.540215952236256,140.88,239.31999999999996
120,219,168.40500000000003,20.677243860501978,138.38,241.1
121,236,168.4968666666667,21.180846241724048,138.38,250.64000000000001
122,213,167.4466666666667,19.395989711507095,134.00000000000006,260.70000000000005
123,236,169.7724,21.270677051753665,134.00000000000006,254.86
124,212,168.0814666666667,19.142975957660184,134.00000000000006,245.2000000000001
125,191,165.95733333333334,19.660146037662642,134.00000000000006,252.87999999999997
126,214,164.17646666666667,20.851336444351848,134.00000000000006,255.78000000000011
127,219,165.20926666666668,19.359452423270884,134.00000000000006,259.7
128,230,165.72760000000002,21.067619535834293,134.00000000000006,261.60000000000014
129,223,165.43400000000003,19.70032016660305,138.08,262.36000000000007
130,216,164.61040000000003,17.123336547141353,137.20000000000002,226.72000000000003
131,231,166.50406666666666,19.27735315844879,137.20000000000002,252.76000000000005
132,227,164.70553333333334,20.16643938285146,137.60000000000002,252.76000000000005
133,236,165.59320000000002,19.419889437378373,138.39999999999998,245.28000000000003
134,232,166.60033333333334,20.914853507070575,136.89999999999998,257.34000000000003
135,216,166.09260000000003,21.004973884931804,136.89999999999998,253.4600000000001
136,235,164.25153333333333,19.633869485718357,139.78,244.86000000000004
137,231,165.0074,20.852910841734627,139.16,269.44000000000005
138,246,164.02806666666666,20.251830080157102,137.44,257.02000000000004
139,244,161.37779999999998,18.305997391383336,138.16,245.02
140,225,162.23673333333335,21.77051556568093,137.14,277.9600000000001
141,222,159.33273333333332,19.03575244626689,137.14,240.10000000000014
142,231,159.138,21.080414701803193,137.04,258.12
143,244,158.71220000000002,20.36906973395366,136.57999999999998,252.80000000000004
144,222,156.6944,19.074541863611476,136.57999999999998,234.92
145,216,157.24626666666668,20.230054491495796,136.72,241.50000000000003
146,213,156.44553333333334,20.563108845265166,136.1,239.86
147,207,153.74473333333333,18.20950404584254,134.20000000000002,231.77999999999997
148,224,153.55293333333336,17.46526169463895,134.04,232.31999999999996
149,231,155.0796,18.579357071043486,134.04,232.93999999999994
150,227,154.84526666666667,20.487091486971885,129.72,250.30000000000004
151,213,154.94846666666666,20.223216731821434,133.7,242.3400000000001
152,227,155.9706,20.7393233168298,135.41999999999996,243.82000000000008
153,225,155.1744666666667,19.5833841827425,135.41999999999996,251.9
154,217,154.49366666666666,16.583319929642826,134.72,219.44
155,223,156.38926666666666,18.688347549446124,136.1,236.1800000000001
156,211,154.31293333333332,18.120809788625767,135.74,232.49999999999994
157,241,154.65553333333332,16.944079793511627,135.14,224.94000000000003
158,227,155.91340000000002,20.35239426799707,133.32,256.31999999999994
159,229,154.78993333333332,19.811197002256634,135.14,230.17999999999992
160,234,154.04426666666666,18.587605560217334,131.42,242.62000000000003
161,212,153.18126666666666,17.71169270271917,132.12,245.41999999999993
162,234,154.43513333333334,19.088109500826832,132.12,248.17999999999995
163,237,155.23286666666667,19.817305058514453,132.12,249.52000000000015
164,225,155.75906666666668,20.09794209520523,131.07999999999998,243.92000000000007
165,227,157.2001333333333,19.564809087974485,130.54000000000002,232.1599999999999
166,226,156.98226666666665,21.779474194652995,129.02,253.50000000000003
167,226,153.38180000000003,17.49227892795371,130.32000000000005,232.88000000000014
168,232,153.91993333333332,19.164192547445236,128.92000000000002,252.34000000000006
169,233,152.93686666666665,20.5459545291903,125.02000000000004,263.94
170,223,150.71940000000004,19.822902469282006,125.02000000000004,250.35999999999999
171,226,150.90166666666667,20.29813432860819,126.77999999999997,256.53999999999996
172,238,149.87126666666668,21.230629565062095,126.77999999999997,260.2799999999999
173,223,150.34373333333335,21.100516377462316,126.46000000000001,251.42000000000004
174,250,151.5914,22.402546626964835,120.56000000000002,258.2200000000001
175,209,149.95233333333337,22.982591873464187,123.86,243.52000000000004
176,232,147.22266666666667,19.36340385595696,123.67999999999999,234.44
177,232,147.26793333333336,18.797979813326275,123.67999999999999,243.24
178,225,148.8976,22.262794723634016,123.0,235.36000000000013
179,237,146.75293333333337,19.562110129760775,122.39999999999999,228.58000000000007
180,215,145.7112666666667,20.035524909409176,122.39999999999999,238.33999999999997
181,228,145.30893333333333,20.014332469396916,123.5,221.64000000000001
182,232,146.6918,20.74377466679261,123.86,230.08000000000007
